time_s,E_lag0.00,E_lag0.50,E_lag1.00,S_lag0.00,S_lag0.50,S_lag1.00,C_lag0.00,C_lag0.50,C_lag1.00,y,xhat_QCI,split
55.998000,-0.150275,0.274534,0.516370,0.083991,1.191432,0.494019,-0.166579,1.788510,0.081809,-0.378726,-0.377764,train
56.498000,0.020877,0.982391,0.085025,-0.150275,0.274534,0.516370,0.083991,1.191432,0.494019,0.226150,0.223773,train
56.998000,0.781334,1.455162,-0.427022,0.020877,0.982391,0.085025,-0.150275,0.274534,0.516370,1.025036,1.021805,train
57.498000,1.853218,0.305329,0.282542,0.781334,1.455162,-0.427022,0.020877,0.982391,0.085025,1.742731,1.738299,train
57.998000,2.236664,-0.863818,0.820268,1.853218,0.305329,0.282542,0.781334,1.455162,-0.427022,2.037887,2.035560,train
58.498000,2.275689,-1.012637,1.681909,2.236664,-0.863818,0.820268,1.853218,0.305329,0.282542,2.088744,2.088313,train
58.998000,2.068658,-0.303425,1.364820,2.275689,-1.012637,1.681909,2.236664,-0.863818,0.820268,1.823906,1.824748,train
59.498000,1.534771,0.539347,0.535891,2.068658,-0.303425,1.364820,2.275689,-1.012637,1.681909,1.501244,1.501379,train
59.998000,1.390449,0.591541,0.080752,1.534771,0.539347,0.535891,2.068658,-0.303425,1.364820,1.423546,1.421609,train
60.498000,1.428826,0.528775,-0.796407,1.390449,0.591541,0.080752,1.534771,0.539347,0.535891,1.289425,1.287988,train
60.998000,1.586603,-0.115731,-0.931973,1.428826,0.528775,-0.796407,1.390449,0.591541,0.080752,1.398564,1.397058,train
61.498000,0.828487,-0.185783,-1.177849,1.586603,-0.115731,-0.931973,1.428826,0.528775,-0.796407,1.134309,1.134857,train
61.998000,0.871875,-0.062260,0.747508,0.828487,-0.185783,-1.177849,1.586603,-0.115731,-0.931973,1.296773,1.295165,train
62.498000,0.360104,0.057372,0.633028,0.871875,-0.062260,0.747508,0.828487,-0.185783,-1.177849,0.769130,0.770790,train
62.998000,0.919978,0.565569,-2.168867,0.360104,0.057372,0.633028,0.871875,-0.062260,0.747508,0.768909,0.767534,train
63.498000,0.778361,0.462141,-2.162982,0.919978,0.565569,-2.168867,0.360104,0.057372,0.633028,0.877829,0.877041,train
63.998000,0.500656,0.672958,-0.785757,0.778361,0.462141,-2.162982,0.919978,0.565569,-2.168867,0.846700,0.845882,train
64.498000,-0.042079,0.126119,1.030492,0.500656,0.672958,-0.785757,0.778361,0.462141,-2.162982,-0.115393,-0.111459,train
64.998000,-0.608934,-0.128775,1.039547,-0.042079,0.126119,1.030492,0.500656,0.672958,-0.785757,-1.147044,-1.142602,train
65.498000,-0.930778,-1.038194,1.096416,-0.608934,-0.128775,1.039547,-0.042079,0.126119,1.030492,-1.154260,-1.153273,train
65.998000,-0.735141,-0.626151,0.683141,-0.930778,-1.038194,1.096416,-0.608934,-0.128775,1.039547,-0.733581,-0.734802,train
66.498000,-0.237954,-0.773851,0.425047,-0.735141,-0.626151,0.683141,-0.930778,-1.038194,1.096416,-0.867016,-0.864947,train
66.998000,0.327690,-1.373534,1.465149,-0.237954,-0.773851,0.425047,-0.735141,-0.626151,0.683141,0.779658,0.772808,train
67.498000,-0.088751,-2.117385,0.380286,0.327690,-1.373534,1.465149,-0.237954,-0.773851,0.425047,0.753014,0.752939,train
67.998000,-0.832026,-1.287408,0.818630,-0.088751,-2.117385,0.380286,0.327690,-1.373534,1.465149,0.588813,0.588772,train
68.498000,-1.772524,-1.212662,0.040524,-0.832026,-1.287408,0.818630,-0.088751,-2.117385,0.380286,-1.272131,-1.264142,train
68.998000,-1.482084,-0.769060,-0.875195,-1.772524,-1.212662,0.040524,-0.832026,-1.287408,0.818630,-0.839784,-0.842537,train
69.498000,-1.174694,-0.792460,-1.408855,-1.482084,-0.769060,-0.875195,-1.772524,-1.212662,0.040524,-0.252489,-0.254646,train
69.998000,-1.373630,-1.788208,0.035877,-1.174694,-0.792460,-1.408855,-1.482084,-0.769060,-0.875195,-0.939847,-0.936755,train
70.498000,-0.175685,-1.716952,-0.000979,-1.373630,-1.788208,0.035877,-1.174694,-0.792460,-1.408855,-0.674068,-0.674633,train
70.998000,0.544497,-0.605209,-0.108905,-0.175685,-1.716952,-0.000979,-1.373630,-1.788208,0.035877,0.039613,0.039004,train
71.498000,1.320406,0.496774,-0.243653,0.544497,-0.605209,-0.108905,-0.175685,-1.716952,-0.000979,0.703279,0.701077,train
71.998000,1.211623,1.351835,0.054261,1.320406,0.496774,-0.243653,0.544497,-0.605209,-0.108905,0.769287,0.768481,train
72.498000,0.627494,1.613793,-0.361594,1.211623,1.351835,0.054261,1.320406,0.496774,-0.243653,0.002601,0.004797,train
72.998000,-1.722160,-0.518402,-1.322029,0.627494,1.613793,-0.361594,1.211623,1.351835,0.054261,-2.291997,-2.282237,train
73.498000,-1.919100,-1.864341,-0.725103,-1.722160,-0.518402,-1.322029,0.627494,1.613793,-0.361594,-1.693261,-1.696352,train
73.998000,-0.838170,-1.850115,0.476113,-1.919100,-1.864341,-0.725103,-1.722160,-0.518402,-1.322029,-1.260630,-1.259559,train
74.498000,-0.425306,-2.019045,0.643980,-0.838170,-1.850115,0.476113,-1.919100,-1.864341,-0.725103,-0.222558,-0.223950,train
74.998000,-0.901402,-2.296460,0.697312,-0.425306,-2.019045,0.643980,-0.838170,-1.850115,0.476113,-0.457086,-0.455441,train
75.498000,-1.823903,-2.487612,0.201970,-0.901402,-2.296460,0.697312,-0.425306,-2.019045,0.643980,-0.684695,-0.683557,train
75.998000,-1.113136,-1.539705,1.245030,-1.823903,-2.487612,0.201970,-0.901402,-2.296460,0.697312,-0.060365,-0.063647,train
76.498000,-0.360162,0.215606,0.215389,-1.113136,-1.539705,1.245030,-1.823903,-2.487612,0.201970,0.470646,0.468699,train
76.998000,-0.372961,-0.078720,0.032452,-0.360162,0.215606,0.215389,-1.113136,-1.539705,1.245030,0.463478,0.462534,train
77.498000,-0.822024,-0.626409,-0.548140,-0.372961,-0.078720,0.032452,-0.360162,0.215606,0.215389,-0.035583,-0.035567,train
77.998000,-0.939096,-1.073493,-0.527121,-0.822024,-0.626409,-0.548140,-0.372961,-0.078720,0.032452,-0.493372,-0.491645,train
78.498000,-1.307367,-1.713196,-1.487880,-0.939096,-1.073493,-0.527121,-0.822024,-0.626409,-0.548140,-0.749678,-0.747750,train
78.998000,-2.021555,-2.199212,-1.805290,-1.307367,-1.713196,-1.487880,-0.939096,-1.073493,-0.527121,-1.251711,-1.248719,train
79.498000,-1.244067,-1.789684,-0.145517,-2.021555,-2.199212,-1.805290,-1.307367,-1.713196,-1.487880,-0.856843,-0.857683,train
79.998000,-0.741049,-0.879181,1.225493,-1.244067,-1.789684,-0.145517,-2.021555,-2.199212,-1.805290,-0.630654,-0.629655,train
80.498000,-0.130566,0.400580,0.722763,-0.741049,-0.879181,1.225493,-1.244067,-1.789684,-0.145517,-0.125428,-0.127106,train
80.998000,-0.087713,0.156608,0.496134,-0.130566,0.400580,0.722763,-0.741049,-0.879181,1.225493,-0.389788,-0.388853,train
81.498000,-0.205469,0.027419,-0.336843,-0.087713,0.156608,0.496134,-0.130566,0.400580,0.722763,-0.443091,-0.443664,train
81.998000,-0.396688,-0.042193,0.726041,-0.205469,0.027419,-0.336843,-0.087713,0.156608,0.496134,-0.929280,-0.926529,train
82.498000,-0.888596,0.089536,-1.185179,-0.396688,-0.042193,0.726041,-0.205469,0.027419,-0.336843,-0.766947,-0.766758,train
82.998000,-0.353706,0.880378,-1.243973,-0.888596,0.089536,-1.185179,-0.396688,-0.042193,0.726041,-0.310565,-0.312664,train
83.498000,-0.460955,0.700103,-1.191698,-0.353706,0.880378,-1.243973,-0.888596,0.089536,-1.185179,0.025998,0.025100,train
83.998000,-0.293584,0.742415,-0.177356,-0.460955,0.700103,-1.191698,-0.353706,0.880378,-1.243973,-0.324999,-0.324279,train
84.498000,-0.615230,0.005685,0.613931,-0.293584,0.742415,-0.177356,-0.460955,0.700103,-1.191698,-0.304349,-0.303797,train
84.998000,0.371455,0.444309,0.199216,-0.615230,0.005685,0.613931,-0.293584,0.742415,-0.177356,0.399096,0.395486,train
85.498000,0.512639,0.518894,-0.979594,0.371455,0.444309,0.199216,-0.615230,0.005685,0.613931,0.373274,0.374398,train
85.998000,0.450741,0.821711,-1.321578,0.512639,0.518894,-0.979594,0.371455,0.444309,0.199216,0.177019,0.177377,train
86.498000,-0.435472,0.164544,-0.965556,0.450741,0.821711,-1.321578,0.512639,0.518894,-0.979594,-0.582283,-0.578711,train
86.998000,-1.163840,-0.152231,-1.183817,-0.435472,0.164544,-0.965556,0.450741,0.821711,-1.321578,-1.577470,-1.573110,train
87.498000,-1.630174,-1.090056,-1.637257,-1.163840,-0.152231,-1.183817,-0.435472,0.164544,-0.965556,-2.227432,-2.222857,train
87.998000,-1.127623,-1.291082,-2.920630,-1.630174,-1.090056,-1.637257,-1.163840,-0.152231,-1.183817,-1.565972,-1.567053,train
88.498000,-0.973279,-1.261604,-1.388041,-1.127623,-1.291082,-2.920630,-1.630174,-1.090056,-1.637257,-0.295660,-0.298696,train
88.998000,0.204145,-0.102957,-0.857535,-0.973279,-1.261604,-1.388041,-1.127623,-1.291082,-2.920630,0.065858,0.064982,train
89.498000,-0.287280,-0.117511,0.216994,0.204145,-0.102957,-0.857535,-0.973279,-1.261604,-1.388041,-0.409031,-0.405475,train
89.998000,-1.835626,-1.927395,-0.770166,-0.287280,-0.117511,0.216994,0.204145,-0.102957,-0.857535,-1.595894,-1.591159,train
90.498000,-2.191737,-1.424558,-2.634745,-1.835626,-1.927395,-0.770166,-0.287280,-0.117511,0.216994,-2.048934,-2.046955,train
90.998000,-1.375072,-0.682348,-0.793217,-2.191737,-1.424558,-2.634745,-1.835626,-1.927395,-0.770166,-0.142815,-0.148711,train
91.498000,-0.552284,0.430801,-0.214872,-1.375072,-0.682348,-0.793217,-2.191737,-1.424558,-2.634745,0.093663,0.092878,train
91.998000,-0.445798,0.171534,-0.025884,-0.552284,0.430801,-0.214872,-1.375072,-0.682348,-0.793217,0.216160,0.215425,train
92.498000,-0.588932,-0.174349,0.146949,-0.445798,0.171534,-0.025884,-0.552284,0.430801,-0.214872,-0.510229,-0.508178,train
92.998000,-0.914666,0.936602,-1.179897,-0.588932,-0.174349,0.146949,-0.445798,0.171534,-0.025884,-0.840194,-0.838195,train
93.498000,-0.909314,1.313248,-0.571662,-0.914666,0.936602,-1.179897,-0.588932,-0.174349,0.146949,-0.865004,-0.864254,train
93.998000,-1.315004,0.680470,0.591634,-0.909314,1.313248,-0.571662,-0.914666,0.936602,-1.179897,-0.900522,-0.900631,train
94.498000,-1.358860,-0.286774,0.069531,-1.315004,0.680470,0.591634,-0.909314,1.313248,-0.571662,-1.241476,-1.240128,train
