time_s,E_in_raw,E_in_norm,S_entropy,S_entropy_norm,C_ent_alpha,C_ent_alpha_norm,dQCI_dt,QCI,QCI_smooth
101.998000,0.000000,0.926876,0.654921,0.654921,0.673302,0.673302,0.475529,4.697293,4.700960
102.498000,0.000000,0.741038,0.698389,0.698389,0.788722,0.788722,0.337865,4.935057,4.664243
102.998000,0.000000,0.167804,0.785239,0.785239,0.613607,0.613607,-0.514227,5.103990,4.623941
103.498000,0.000000,0.176011,0.794014,0.794014,0.681321,0.681321,-0.421370,4.846876,4.596399
103.998000,0.000000,0.121067,0.752097,0.752097,0.621863,0.621863,-0.472785,4.636191,4.566360
104.498000,0.000000,0.199812,0.710585,0.710585,0.750763,0.750763,-0.199990,4.399799,4.515179
104.998000,0.000000,0.202008,0.693219,0.693219,0.774349,0.774349,-0.146842,4.299804,4.412204
105.498000,0.000000,0.166722,0.722556,0.722556,0.726669,0.726669,-0.251804,4.226383,4.261763
105.998000,0.000000,0.074934,0.725853,0.725853,0.671846,0.671846,-0.389121,4.100481,4.077877
106.498000,0.000000,0.034780,0.712561,0.712561,0.591604,0.591604,-0.476769,3.905920,3.905956
106.998000,0.000000,0.115919,0.732559,0.732559,0.509624,0.509624,-0.473770,3.667536,3.750105
107.498000,0.000000,0.223921,0.736353,0.736353,0.524446,0.524446,-0.331052,3.430651,3.617008
107.998000,0.000000,0.310552,0.764525,0.764525,0.505572,0.505572,-0.274914,3.265125,3.497792
108.498000,0.000000,0.401712,0.710232,0.710232,0.521311,0.521311,-0.099976,3.127668,3.392763
108.998000,0.000000,0.460738,0.691621,0.691621,0.520961,0.520961,-0.017690,3.077680,3.301129
109.498000,0.000000,0.510483,0.670100,0.670100,0.544111,0.544111,0.077610,3.068835,3.224206
109.998000,0.000000,0.483930,0.663816,0.663816,0.627567,0.627567,0.136917,3.107640,3.160465
110.498000,0.000000,0.396498,0.672372,0.672372,0.609560,0.609560,0.016076,3.176099,3.103832
110.998000,0.000000,0.287321,0.698733,0.698733,0.634927,0.634927,-0.094899,3.184137,3.045009
111.498000,0.000000,0.238867,0.745561,0.745561,0.607238,0.607238,-0.213125,3.136687,2.986593
111.998000,0.000000,0.217031,0.741978,0.741978,0.496352,0.496352,-0.331608,3.030125,2.939388
112.498000,0.000000,0.177174,0.755605,0.755605,0.490022,0.490022,-0.374841,2.864321,2.901821
112.998000,0.000000,0.241700,0.749662,0.749662,0.508875,0.508875,-0.266777,2.676900,2.887765
113.498000,0.000000,0.507291,0.721646,0.721646,0.592925,0.592925,0.124219,2.543512,2.897628
113.998000,0.000000,0.656075,0.714922,0.714922,0.494505,0.494505,0.175096,2.605621,2.934992
114.498000,0.000000,1.000000,0.683238,0.683238,0.500370,0.500370,0.547815,2.693169,2.978988
114.998000,0.000000,1.000000,0.672116,0.672116,0.584133,0.584133,0.615310,2.967077,3.026096
115.498000,0.000000,0.980690,0.689970,0.689970,0.602839,0.602839,0.566086,3.274732,3.095037
115.998000,0.000000,0.581857,0.721999,0.721999,0.533655,0.533655,0.037736,3.557775,3.207318
116.498000,0.000000,0.399048,0.723525,0.723525,0.531267,0.531267,-0.150875,3.576643,3.373034
116.998000,0.000000,0.581591,0.691360,0.691360,0.564944,0.564944,0.105055,3.501206,3.568703
117.498000,0.000000,0.822217,0.670346,0.670346,0.695462,0.695462,0.491960,3.553733,3.787314
117.998000,0.000000,1.000000,0.641914,0.641914,0.823809,0.823809,0.801925,3.799713,3.969755
118.498000,0.000000,1.000000,0.651506,0.651506,0.794828,0.794828,0.723255,4.200675,4.117096
118.998000,0.000000,1.000000,0.663086,0.663086,0.753280,0.753280,0.633963,4.562302,4.246953
119.498000,0.000000,0.438257,0.731651,0.731651,0.605721,0.605721,-0.175601,4.879284,4.393380
119.998000,0.000000,0.476267,0.747355,0.747355,0.663557,0.663557,-0.086680,4.791484,4.561616
120.498000,0.000000,0.711876,0.709222,0.709222,0.688568,0.688568,0.216408,4.748144,4.732517
120.998000,0.000000,0.916181,0.681610,0.681610,0.620196,0.620196,0.369131,4.856347,4.887870
121.498000,0.000000,0.911931,0.666772,0.666772,0.544231,0.544231,0.285300,5.040913,5.020522
121.998000,0.000000,0.751251,0.668402,0.668402,0.593863,0.593863,0.158356,5.183563,5.139309
122.498000,0.000000,0.876967,0.689230,0.689230,0.519546,0.519546,0.181009,5.262741,5.246375
122.998000,0.000000,0.978280,0.676500,0.676500,0.581438,0.581438,0.347894,5.353246,5.378580
123.498000,0.000000,1.000000,0.672714,0.672714,0.671405,0.671405,0.445971,5.527192,5.516691
123.998000,0.000000,0.926961,0.673405,0.673405,0.720992,0.720992,0.399530,5.750178,5.638239
124.498000,0.000000,0.831554,0.677735,0.677735,0.768362,0.768362,0.327188,5.949943,5.736684
124.998000,0.000000,0.675946,0.709577,0.709577,0.676403,0.676403,0.031418,6.113537,5.817114
125.498000,0.000000,0.575815,0.722478,0.722478,0.644763,0.644763,-0.114825,6.129246,5.875854
125.998000,0.000000,0.618159,0.737128,0.737128,0.633213,0.633213,-0.092938,6.071833,5.902921
126.498000,0.000000,0.604933,0.735404,0.735404,0.657997,0.657997,-0.075010,6.025364,5.894323
126.998000,0.000000,0.453080,0.748287,0.748287,0.618550,0.618550,-0.275443,5.987859,5.845228
127.498000,0.000000,0.299919,0.764112,0.764112,0.596777,0.596777,-0.452430,5.850138,5.765845
127.998000,0.000000,0.345433,0.757695,0.757695,0.609226,0.609226,-0.365428,5.623923,5.671899
128.498000,0.000000,0.395168,0.729633,0.729633,0.514616,0.514616,-0.363969,5.441209,5.570025
128.998000,0.000000,0.516820,0.719601,0.719601,0.522488,0.522488,-0.206216,5.259224,5.475563
129.498000,0.000000,0.653773,0.686908,0.686908,0.584667,0.584667,0.035919,5.156116,5.396874
129.998000,0.000000,0.538153,0.685246,0.685246,0.537355,0.537355,-0.127145,5.174076,5.336619
130.498000,0.000000,0.591805,0.655146,0.655146,0.607828,0.607828,0.033436,5.110503,5.315083
130.998000,0.000000,0.822327,0.630018,0.630018,0.542909,0.542909,0.222495,5.127221,5.327790
131.498000,0.000000,0.899777,0.662751,0.662751,0.580513,0.580513,0.293692,5.238469,5.374018
131.998000,0.000000,1.000000,0.694229,0.694229,0.731674,0.731674,0.498913,5.385315,5.435840
132.498000,0.000000,0.788919,0.735534,0.735534,0.742543,0.742543,0.232451,5.634772,5.497966
132.998000,0.000000,0.899623,0.717101,0.717101,0.697550,0.697550,0.304971,5.750997,5.553433
133.498000,0.000000,0.584232,0.711664,0.711664,0.665718,0.665718,-0.052062,5.903483,5.603155
133.998000,0.000000,0.387578,0.705907,0.705907,0.705920,0.705920,-0.200155,5.877452,5.643741
134.498000,0.000000,0.493823,0.707639,0.707639,0.694295,0.694295,-0.097258,5.777374,5.652206
134.998000,0.000000,0.487659,0.715068,0.715068,0.558247,0.558247,-0.242037,5.728745,5.634605
